title,stars,price,book_stars,author,book_url,books_pages
VBAエキスパート公式テキスト Access VBAベーシック,33,3300,4.0,"
八子知礼 
(著) 
",https://www.amazon.co.jp/-/en/%E6%AD%A6%E8%97%A4-%E7%8E%84/dp/4908327130,286 pages
データベースシステム(改訂2版),11,3520,4.0,"
Cathy Tanimura 
(著),  
",https://www.amazon.co.jp/-/en/%E5%8C%97%E5%B7%9D-%E5%8D%9A%E4%B9%8B/dp/427422516X,0
詳説 データベース ―ストレージエンジンと分散データシステムの仕組み,44,4180,4.2,"
真野 智之 
(著) 
",https://www.amazon.co.jp/-/en/Alex-Petrov/dp/4873119545,392 pages
Webアプリ開発で学ぶ Rust言語入門,37,1980,4.2,"
松本 美穂 
(著),  
",https://www.amazon.co.jp/-/en/%E4%BD%90%E8%97%A4%E6%98%AD%E6%96%87/dp/4798067318,324 pages
(無料電話サポート付)できるポケット Excelピボットテーブル 基本＆活用マスターブック　Office 2021/2019/2016 & Microsoft 365対応,32,968,4.0,"
大家 正登 
(著) 
",https://www.amazon.co.jp/-/en/%E9%96%80%E8%84%87%E9%A6%99%E5%A5%88%E5%AD%90/dp/4295015350,256 pages
JUnit実践入門 ~体系的に学ぶユニットテストの技法 (WEB+DB PRESS plus),48,3630,4.2,"
真野 正 
(著) 
",https://www.amazon.co.jp/-/en/%E6%B8%A1%E8%BE%BA-%E4%BF%AE%E5%8F%B8/dp/477415377X,480 pages
基礎からのMySQL 第3版 (基礎からシリーズ),37,6746,4.5,"
土岐 順子 
(著) 
",https://www.amazon.co.jp/-/en/%E8%A5%BF%E6%B2%A2-%E5%A4%A2%E8%B7%AF/dp/4797393114,0
PHPフレームワーク Laravel Webアプリケーション開発 バージョン8.x対応,54,4180,4.0,"
伊藤 直也 
(著),  
",https://www.amazon.co.jp/-/en/%E7%AB%B9%E6%BE%A4-%E6%9C%89%E8%B2%B4/dp/4802613008,0
シグナル&ノイズ 天才データアナリストの「予測学」,124,0,4.2,"
杉本 雅広 
(著) 
",https://www.amazon.co.jp/-/en/%E3%83%8D%E3%82%A4%E3%83%88%E3%83%BB%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC/dp/4822249808,594 pages
詳解MySQL 5.7 止まらぬ進化に乗り遅れないためのテクニカルガイド (NEXT ONE),28,3960,4.2,"
西尾 泰和 
(著) 
",https://www.amazon.co.jp/-/en/%E5%A5%A5%E9%87%8E-%E5%B9%B9%E4%B9%9F/dp/4798147400,0
スッキリわかるSQL入門 第2版 ドリル222問付き! (スッキリわかる入門シリーズ),276,4600,4.0,"
米津 武至 
(著) 
",https://www.amazon.co.jp/-/en/%E4%B8%AD%E5%B1%B1%E6%B8%85%E5%96%AC/dp/4295005096,0
Excel 2019 ドリル (よくわかる),85,1100,4.1,"
東 浩紀 
(著) 
",https://www.amazon.co.jp/-/en/%E5%AF%8C%E5%A3%AB%E9%80%9A%E3%82%A8%E3%83%95%E3%83%BB%E3%82%AA%E3%83%BC%E3%83%BB%E3%82%A8%E3%83%A0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-FOM%E5%87%BA%E7%89%88/dp/4865104216,99 pages
[改訂第3版]シェルスクリプト基本リファレンス ──#!/bin/shで、ここまでできる (WEB+DB PRESS plus),59,2948,4.9,"
田籠 聡 
(著) 
",https://www.amazon.co.jp/-/en/%E5%B1%B1%E6%A3%AE-%E4%B8%88%E7%AF%84/dp/4774186945,0
プロとしてのOracle PL/SQL入門 【第3版】(Oracle 12c、11g、10g対応) (Oracle現場主義),46,0,4.2,"
仲田 尚央 
(著),  
",https://www.amazon.co.jp/-/en/%E3%82%A2%E3%82%B7%E3%82%B9%E3%83%88%E6%95%99%E8%82%B2%E9%83%A8/dp/4797377070,360 pages
図解まるわかり NFTのしくみ,19,1848,4.4,"
矢野 啓介 
(著) 
",https://www.amazon.co.jp/-/en/%E5%A4%A7%E5%92%8C%E7%B7%8F%E7%A0%94%E3%83%95%E3%83%AD%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E7%A0%94%E7%A9%B6%E9%96%8B%E7%99%BA%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/dp/4798175900,248 pages
[改訂第4版]SQLポケットリファレンス,86,2178,4.0,"
富士通ラーニングメディア 
(著) 
",https://www.amazon.co.jp/-/en/%E6%9C%9D%E4%BA%95-%E6%B7%B3/dp/4774187321,0
